Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
Jim Chalmers,2013,ALP,MP,83051,4556,0,9617,0,3793,29118,6185,25692,1465,2624
Joanna Gash,2013,Liberal,MP,271505,10920,0,0,0,16593,72353,0,162674,8965,0
Joanne Ryan,2013,ALP,MP,42773,4824,0,8203,0,5213,18610,1384,2181,1237,1120
Joe Hockey,2013,Liberal,MP,674019,32014,66988,41128,0,58858,235454,294,213769,12553,12962
Joe Ludwig,2013,ALP,Senator,581073,26036,-21,40197,11416,18155,377689,0,91318,10702,5581
Joel Fitzgibbon,2013,ALP,MP,459100,35612,3873,37255,0,41603,155182,828,169845,14901,0
John Alexander,2013,Liberal,MP,476137,13371,0,1987,0,5872,194323,0,247268,13065,252
John Cobb,2013,National,MP,578905,29135,690,48106,2439,52568,163978,0,249650,15102,17238
John Faulkner,2013,ALP,Senator,205417,14592,0,11779,0,16356,115045,496,33751,13397,0
John Forrest,2013,National,MP,336778,16318,-274,4230,27377,22945,105317,0,145819,13602,1443
John Hogg,2013,ALP,Senator,665603,18224,275296,51619,21350,41513,171093,0,61246,15188,10073
John Madigan,2013,DLP,Senator,185043,22615,0,20192,0,25168,66906,1380,28136,16474,4172
John Murphy,2013,ALP,MP,446863,11816,14321,3331,0,17133,152990,0,231090,11009,5172
John Williams,2013,Nationals,Senator,297199,33569,0,41881,9048,51682,89757,0,47857,15687,7717
Josh Frydenberg,2013,Liberal,MP,473000,15741,9007,52789,0,25060,162933,0,180554,16558,10357
Judi Moylan,2013,Liberal,MP,154439,13771,4729,19356,0,12261,48282,0,47670,8370,0
Judith Adams,2013,Liberal,Senator,119,0,0,0,0,-2,120,0,0,0,0
Julia Gillard,2013,ALP,MP,654196,11702,268557,2439,0,143481,84085,0,127467,8677,7788
Julie Bishop,2013,Liberal,MP,952825,54963,193160,137765,0,80763,270552,945,189389,17986,7301
Julie Collins,2013,ALP,MP,440791,14522,47948,37193,0,20927,111182,995,195002,8232,4790
Julie Owens,2013,ALP,MP,434550,16288,0,511,0,6775,174822,0,223447,12707,0
Justine Elliot,2013,ALP,MP,490464,16668,0,20216,0,31374,158341,348,248774,13422,1320
Karen Andrews,2013,LNP,MP,406657,16647,14,25250,0,10602,116328,3623,218540,13414,2239
Karen McNamara,2013,Liberal,MP,63784,4020,0,2092,0,1426,42688,697,9793,1284,1784
Kate Ellis,2013,ALP,MP,541204,18940,0,61003,0,22723,158005,0,264179,10319,6034
Kate Lundy,2013,ALP,Senator,314819,17103,5905,75553,0,47508,92532,0,69228,6665,327
Keith Pitt,2013,National,MP,86327,6432,0,9469,0,3628,20544,1720,35971,1369,7195
Kelly O'Dwyer,2013,Liberal,MP,487269,14304,0,31519,0,20593,126547,37254,242113,11639,3300
Kelvin Thomson,2013,ALP,MP,479294,20113,89172,25346,0,26084,121661,1805,175142,15192,4780
Ken O'Dowd,2013,LNP,MP,570094,26207,0,32570,18509,37742,184017,0,248669,17304,5076
Ken Wyatt,2013,Liberal,MP,462879,16013,0,51523,0,20268,119716,1377,230263,10349,13369
Kevin Andrews,2013,Liberal,MP,528128,30839,0,78729,0,59088,108510,3728,215473,11517,20244
Kevin Hogan,2013,National,MP,104651,3576,0,6892,0,5902,37296,2048,38668,2568,7702
Kevin Rudd,2013,ALP,MP,917560,36134,55491,44067,0,170411,257991,11591,292751,24918,24206
Kim Carr,2013,ALP,Senator,442114,34067,39912,60947,0,64653,153015,130,63256,12666,13467
Kirsten Livermore,2013,ALP,MP,303364,15304,23477,35628,0,13720,60140,0,138255,10444,6394
Larissa Waters,2013,Greens,Senator,739969,22602,0,47765,4726,8970,159709,414639,58116,14132,9309
Laura Smyth,2013,ALP,MP,408209,10660,21286,9313,0,15770,77587,0,260333,12223,1036
Laurie Ferguson,2013,ALP,MP,400106,15178,11675,14074,0,19494,105076,249,213316,15457,5585
Lee Rhiannon,2013,Greens,Senator,323096,15691,0,15990,5727,7619,173793,370,89445,12587,1874
Lin Thorp,2013,ALP,Senator,393153,21557,0,31977,404,21272,68957,131086,95752,9462,12686
